epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
23,7999,0.6648040413856506,,,,,,,,,,,
23,8049,0.7430291175842285,,,,,,,,,,,
23,8099,0.7196646928787231,,,,,,,,,,,
23,8149,0.7157885432243347,,,,,,,,,,,
23,8199,0.7549214959144592,,,,,,,,,,,
23,8249,0.6952938437461853,,,,,,,,,,,
23,8279,,0.9025242328643799,0.927682638168335,0.8405822515487671,0.6041514873504639,0.46180495619773865,0.8969653248786926,0.31984713673591614,1.415741205215454,0.9437609314918518,0.5655503273010254,1.1898492574691772
24,8299,0.6932981014251709,,,,,,,,,,,
24,8349,0.7241857051849365,,,,,,,,,,,
24,8399,0.676343560218811,,,,,,,,,,,
24,8449,0.6405285596847534,,,,,,,,,,,
24,8499,0.6547480821609497,,,,,,,,,,,
24,8549,0.6701270937919617,,,,,,,,,,,
24,8599,0.7957912683486938,,,,,,,,,,,
24,8624,,0.8881131410598755,0.9255849123001099,0.8325680494308472,0.6038918495178223,0.4673372209072113,0.9002991914749146,0.3283913731575012,1.371354341506958,0.9098789691925049,0.5730544328689575,1.1710484027862549
25,8649,0.6826064586639404,,,,,,,,,,,
25,8699,0.7325773239135742,,,,,,,,,,,
25,8749,0.6459252834320068,,,,,,,,,,,
25,8799,0.6894834637641907,,,,,,,,,,,
25,8849,0.7654842734336853,,,,,,,,,,,
25,8899,0.7606546878814697,,,,,,,,,,,
25,8949,0.6835165023803711,,,,,,,,,,,
25,8969,,0.8933494687080383,0.9266359210014343,0.8417418599128723,0.6010357141494751,0.44420722126960754,0.8989526033401489,0.29725879430770874,1.4060040712356567,0.9228531718254089,0.5452144742012024,1.1857503652572632
26,8999,0.7868219614028931,,,,,,,,,,,
26,9049,0.7424160242080688,,,,,,,,,,,
26,9099,0.7320250272750854,,,,,,,,,,,
26,9149,0.7293869853019714,,,,,,,,,,,
26,9199,0.6879299879074097,,,,,,,,,,,
26,9249,0.7394794821739197,,,,,,,,,,,
26,9299,0.761890172958374,,,,,,,,,,,
